강,gang,
강,kang,SURNAME_0
관,gwan,
관,kwan,
권,gwon,
권,kwon,SURNAME_0
김,gim,
김,kim,SURNAME_0
남,lam,
남,nam,SURNAME_0
녀,nyeo,GIVEN_RARE
년,nyeon,GIVEN_RARE
대,dae,
래,rae,GIVEN_0
련,ryeon,GIVEN_RARE
류,ryu,SURNAME_0
문,moon,SURNAME_0
문,mun,
민,min,
박,bak,
박,pak,
박,park,SURNAME_0
백,baek,SURNAME_0
백,baik,
백,paek,
백,paik,
서,seo,SURNAME_0
서,suh,
석,seok,GIVEN_0
성,seong,
성,sung,
송,song,SURNAME_0
수,soo,
수,su,
신,shin,SURNAME_0
신,sin,
안,ahn,SURNAME_0
안,an,
연,yeon,
연,yon,
영,yeong,
영,young,
오,o,
오,oh,SURNAME_0
우,u,
우,woo,
원,weon,
원,won,
유,ryu,
유,yoo,SURNAME_0
유,yu,
윤,yoon,SURNAME_0
윤,youn,
윤,yun,
이,i,
이,lee,SURNAME_0
이,yi,
임,im,
임,lim,SURNAME_0
임,yim,
장,chang,
장,jang,SURNAME_0
재,jae,
전,chon,
전,jeon,SURNAME_0
정,chung,
정,jeong,
정,jung,SURNAME_0
조,cho,SURNAME_0
조,jo,
종,jong,GIVEN_0
준,joon,
준,jun,
중,joong,
중,jung,
진,chin,
진,jin,
채,chae,
철,cheol,
철,chul,
최,choe,
최,choi,SURNAME_0
한,han,SURNAME_0
현,hyeon,
현,hyun,
형,hyeong,
형,hyung,
호,ho,
환,hwan,
황,hwang,SURNAME_0
황,whang,
훈,hoon,
훈,hun,
