가,ga,0.0000
각,gak,0.0000
상일,sangil,0.0000
석열,seokyeol,0.0000
갂,gak,0.0000
갃,gaks,0.0000
간,gan,0.0000
갅,ganj,0.0000
갆,ganh,0.0000
갇,gat,0.0000
갈,gal,0.0000
갉,galk,0.0000
갊,galm,0.0000
갋,galb,0.0000
갌,gals,0.0000
갍,galt,0.0000
갎,galp,0.0000
갏,galh,0.0000
감,gam,0.0000
갑,gap,0.0000
값,gaps,0.0000
갓,gat,0.0000
갔,gat,0.0000
강,gang,0.0000
갖,gat,0.0000
갗,gat,0.0000
갘,gak,0.0000
같,gat,0.0000
갚,gap,0.0000
갛,gat,0.0000
개,gae,0.0000
객,gaek,0.0000
갞,gaek,0.0000
갟,gaeks,0.0000
갠,gaen,0.0000
갡,gaenj,0.0000
갢,gaenh,0.0000
갣,gaet,0.0000
갤,gael,0.0000
갥,gaelk,0.0000
갦,gaelm,0.0000
갧,gaelb,0.0000
갨,gaels,0.0000
갩,gaelt,0.0000
갪,gaelp,0.0000
갫,gaelh,0.0000
갬,gaem,0.0000
갭,gaep,0.0000
갮,gaeps,0.0000
갯,gaet,0.0000
갰,gaet,0.0000
갱,gaeng,0.0000
갲,gaet,0.0000
갳,gaet,0.0000
갴,gaek,0.0000
갵,gaet,0.0000
갶,gaep,0.0000
갷,gaet,0.0000
갸,gya,0.0000
갹,gyak,0.0000
갺,gyak,0.0000
갻,gyaks,0.0000
갼,gyan,0.0000
갽,gyanj,0.0000
갾,gyanh,0.0000
갿,gyat,0.0000
걀,gyal,0.0000
걁,gyalk,0.0000
걂,gyalm,0.0000
걃,gyalb,0.0000
걄,gyals,0.0000
걅,gyalt,0.0000
걆,gyalp,0.0000
걇,gyalh,0.0000
걈,gyam,0.0000
걉,gyap,0.0000
걊,gyaps,0.0000
걋,gyat,0.0000
걌,gyat,0.0000
걍,gyang,0.0000
걎,gyat,0.0000
걏,gyat,0.0000
걐,gyak,0.0000
걑,gyat,0.0000
걒,gyap,0.0000
걓,gyat,0.0000
걔,gyae,0.0000
걕,gyaek,0.0000
걖,gyaek,0.0000
걗,gyaeks,0.0000
걘,gyaen,0.0000
걙,gyaenj,0.0000
걚,gyaenh,0.0000
걛,gyaet,0.0000
걜,gyael,0.0000
걝,gyaelk,0.0000
걞,gyaelm,0.0000
걟,gyaelb,0.0000
걠,gyaels,0.0000
걡,gyaelt,0.0000
걢,gyaelp,0.0000
걣,gyaelh,0.0000
걤,gyaem,0.0000
걥,gyaep,0.0000
걦,gyaeps,0.0000
걧,gyaet,0.0000
걨,gyaet,0.0000
걩,gyaeng,0.0000
걪,gyaet,0.0000
걫,gyaet,0.0000
걬,gyaek,0.0000
걭,gyaet,0.0000
걮,gyaep,0.0000
걯,gyaet,0.0000
거,geo,0.0000
걱,geok,0.0000
걲,geok,0.0000
걳,geoks,0.0000
건,geon,0.0000
걵,geonj,0.0000
걶,geonh,0.0000
걷,geot,0.0000
걸,geol,0.0000
걹,geolk,0.0000
걺,geolm,0.0000
걻,geolb,0.0000
걼,geols,0.0000
걽,geolt,0.0000
걾,geolp,0.0000
걿,geolh,0.0000
검,geom,0.0000
겁,geop,0.0000
겂,geops,0.0000
것,geot,0.0000
겄,geot,0.0000
겅,geong,0.0000
겆,geot,0.0000
겇,geot,0.0000
겈,geok,0.0000
겉,geot,0.0000
겊,geop,0.0000
겋,geot,0.0000
게,ge,0.0000
겍,gek,0.0000
겎,gek,0.0000
겏,geks,0.0000
겐,gen,0.0000
겑,genj,0.0000
겒,genh,0.0000
겓,get,0.0000
겔,gel,0.0000
겕,gelk,0.0000
겖,gelm,0.0000
겗,gelb,0.0000
겘,gels,0.0000
겙,gelt,0.0000
겚,gelp,0.0000
겛,gelh,0.0000
겜,gem,0.0000
겝,gep,0.0000
겞,geps,0.0000
겟,get,0.0000
겠,get,0.0000
겡,geng,0.0000
겢,get,0.0000
겣,get,0.0000
겤,gek,0.0000
겥,get,0.0000
겦,gep,0.0000
겧,get,0.0000
겨,gyeo,0.0000
격,gyeok,0.0000
겪,gyeok,0.0000
겫,gyeoks,0.0000
견,gyeon,0.0000
겭,gyeonj,0.0000
겮,gyeonh,0.0000
겯,gyeot,0.0000
결,gyeol,0.0000
겱,gyeolk,0.0000
겲,gyeolm,0.0000
겳,gyeolb,0.0000
겴,gyeols,0.0000
겵,gyeolt,0.0000
겶,gyeolp,0.0000
겷,gyeolh,0.0000
겸,gyeom,0.0000
겹,gyeop,0.0000
겺,gyeops,0.0000
겻,gyeot,0.0000
겼,gyeot,0.0000
경,gyeong,0.0000
겾,gyeot,0.0000
겿,gyeot,0.0000
곀,gyeok,0.0000
곁,gyeot,0.0000
곂,gyeop,0.0000
곃,gyeot,0.0000
계,gye,-0.3000
곅,gyek,0.0000
곆,gyek,0.0000
곇,gyeks,0.0000
곈,gyen,0.0000
곉,gyenj,0.0000
곊,gyenh,0.0000
곋,gyet,0.0000
곌,gyel,0.0000
곍,gyelk,0.0000
곎,gyelm,0.0000
곏,gyelb,0.0000
곐,gyels,0.0000
곑,gyelt,0.0000
곒,gyelp,0.0000
곓,gyelh,0.0000
곔,gyem,0.0000
곕,gyep,0.0000
곖,gyeps,0.0000
곗,gyet,0.0000
곘,gyet,0.0000
곙,gyeng,0.0000
곚,gyet,0.0000
곛,gyet,0.0000
곜,gyek,0.0000
곝,gyet,0.0000
곞,gyep,0.0000
곟,gyet,0.0000
고,go,0.0000
곡,gok,0.0000
곢,gok,0.0000
곣,goks,0.0000
곤,gon,0.0000
곥,gonj,0.0000
곦,gonh,0.0000
곧,got,0.0000
골,gol,0.0000
곩,golk,0.0000
곪,golm,0.0000
곫,golb,0.0000
곬,gols,0.0000
곭,golt,0.0000
곮,golp,0.0000
곯,golh,0.0000
곰,gom,0.0000
곱,gop,0.0000
곲,gops,0.0000
곳,got,0.0000
곴,got,0.0000
공,gong,0.0000
곶,got,0.0000
곷,got,0.0000
곸,gok,0.0000
곹,got,0.0000
곺,gop,0.0000
곻,got,0.0000
과,gwa,0.0000
곾,gwak,0.0000
